factory_name,address,source,extraction_date,page_number,worker_count,latitude,longitude,geocoding_method,geocoding_confidence,identified_brands,brand_confidence,num_brands,primary_brand,max_confidence,brand_tier
"RAHIMA TEXTILES LIMITED. BISIC INDUSTRIAL AREA, BLOCKA, PLOT A2, TEA","BOARD , BAIZIDChittagong Chittagong 4210 31 2584409 14, No No Not Shared 319 1",Accord 2013,2025-09-22T21:15:09.493741,24,,22.246206383435307,91.80430203842543,area_match,medium,['PVH'],[1.0],1,PVH,1.0,other_brands
"RAHMAN KNIT GARMENT LTD Hariharpara, Panchabati, Fatullah, Narayangonj Narayanganj Dhaka 1400 2 7670037 6 14 22 32 4151 61 No No NO 700 2","Rahman Knitwear 44, Nayamati, Narayangonj Narayanganj Dhaka 1400 2 7631956 No No 1",Accord 2013,2025-09-22T21:15:09.493859,24,,23.618939805048427,90.53670829438109,area_match,medium,['H&M'],[1.0],1,H&M,1.0,premium_fast_fashion
"Rahmat Sweater BD LTD. Telirchala, Mouchak, Kaliakoir, Gazipur Gazipur Dhaka 1751 1711547927 16 No No 1400 2",,Accord 2013,2025-09-22T21:15:09.493940,24,,23.8103,90.4125,default,very_low,['H&M'],[1.0],1,H&M,1.0,premium_fast_fashion
Raquef Apparels Washing  Packaging Industry,"Ltd.Tetuljhora, Rajfulbaria,Savar Dhaka Dhaka 1347 1922527841 4 132233 No No NA 1400 1",Accord 2013,2025-09-22T21:15:09.494068,24,,23.856510348214115,90.2686671187614,area_match,medium,['PVH'],[1.0],1,PVH,1.0,other_brands
"Redpoint Jackets Ltd. 106 108, DEPZ, Ganakbari, Savar Dhaka Dhaka 1349 2 7789877 1 14 No No 2420 3","REDWAN TEX 136, B,UDAYNAN SCHOOL ROAD, DOKKHIN KHAN , UTTARA , DHAKADhaka Dhaka 1230 2 7913781 15, No No Not Shared 350 1",Accord 2013,2025-09-22T21:15:09.494444,24,,23.8759,90.3795,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
"REEDISHA Knitex bd Ltd. 36, Shahid Tajuddin Ahmed Sarani","Tejgaon,DhakaGazipur Dhaka 1208 174029790 No No 2500 1",Accord 2013,2025-09-22T21:15:09.494535,24,,23.7639,90.3889,exact_location,high,['H&M'],[1.0],1,H&M,1.0,premium_fast_fashion
"Rising Fashions Ltd. Plot I16, Block K, Rupnagar IA Dhaka Dhaka 1216 2 9016738 1 19 No No 493 1",,Accord 2013,2025-09-22T21:15:09.495394,24,,23.8103,90.4125,default,very_low,['PVH'],[1.0],1,PVH,1.0,other_brands
RL Denim Limited RL Denim Ltd. Plot No.A1  2 3rd Floor Block,"B, BSCIC Industrial Area, Fouzdarhat Sagarika RoadChittagong Chittagong 1755545545 1 14 Yes Yes 13 2200 1",Accord 2013,2025-09-22T21:15:09.495533,24,,22.24550624020013,91.79928274067247,area_match,medium,['PVH'],[1.0],1,PVH,1.0,other_brands
"Romo Fashion Today Ltd. Vannera Road , Mouchack, Kaliakoir, Gazipur Gazipur Dhaka 1751 1845971199 2 11  21 No No 10  20 480 4",,Accord 2013,2025-09-22T21:15:09.495729,24,,23.8103,90.4125,default,very_low,['PVH'],[1.0],1,PVH,1.0,other_brands
"SABARANG FASHIONS LTD PLOT I16, BLOCK K, RUPNAGAR IA, POLLOBI,","MIRPUR 2Dhaka Dhaka 1216 2 9016738 1 17 No Yes 173,4,5,6 920 2",Accord 2013,2025-09-22T21:15:09.563651,25,,23.8223,90.3654,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
