factory_name,address,source,extraction_date,page_number,worker_count,latitude,longitude,geocoding_method,geocoding_confidence,identified_brands,brand_confidence,num_brands,primary_brand,max_confidence,brand_tier
"Nkk Knitwear Ltd. Kutubail,Fatullah,Narayangong Narayanganj Dhaka 1420 1714097821 1 18 No No 969 1",,Accord 2013,2025-09-22T21:15:09.177640,21,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Nofs Garments Ltd. Plot  Holding  1, Turag Housing Ltd., Beribadh,",Mohammad purDhaka Dhaka 2 400 No No 1,Accord 2013,2025-09-22T21:15:09.177679,21,,23.8103,90.4125,district,low,[],[],0,,0.0,unidentified
"Noman Fashion Fabrics Ltd. Pagar, Tongi, Gazipur, Dhaka, Bangladesh Gazipur Dhaka 1710 2 9801012 3 16 24 35 No Yes 15 24 30 886 6",,Accord 2013,2025-09-22T21:15:09.177739,21,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
Noman Terry Towel Mills Ltd Vawal Mirzapur Gazipur Dhaka 11 14 22 32 41 52 61,72 81 91 101 111No No  2042 3,Accord 2013,2025-09-22T21:15:09.177770,21,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Norban Comtex Ltd. Mouza Sarabo, Chakraborty, Kashimpur Union,","Gazipur, Dhaka,Gazipur Dhaka 2 3341420 Building 1  Storied, Building 2  1 Storied, Building 3  2 Storied, Building 4  2 Storied, Building 5  Under constructionNo No 1690 4 NORP KNIT INDSUNIT2 93 RELIANCE INDUSTRIAL PARK, ISLAMPUR ,KODDA , NANDUN 1700GAZIPUR 2 9264371 5 No No 2025 2",Accord 2013,2025-09-22T21:15:09.177827,21,,24.016726718883202,90.38556478024599,area_match,medium,[],[],0,,0.0,unidentified
"Norp Knit Industries Ltd Unit 1N o r t h Khailkur, National University Gazipur Dhaka 1704 2 9292036 2 1222 No No  1200 3",,Accord 2013,2025-09-22T21:15:09.178048,21,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Norp Knit Industries Ltd Unit 2 Reliance Ind Park, 93,Islampur, Kodda Gazipur Dhaka 2 9264371 2 1322 No No  3700 3",,Accord 2013,2025-09-22T21:15:09.178083,21,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Northern Corporation Limited Plot  4345,BSCIC IA, Tongi, Gazipur Gazipur Dhaka 1710 1833313626 4 15 No No NA 1250 3","Northern Fashion Plot 1618 Dakkin Panishail,EPZ kaliakur road, Kashim pur, Gazipur,DhakaGazipur Dhaka 1819813951 3 172434 No No 1970 2",Accord 2013,2025-09-22T21:15:09.178122,21,,24.01400920868996,90.38543450195121,area_match,medium,[],[],0,,0.0,unidentified
"Novel Hurricane Knit Garments Ltd. Bokran, Monipur, Mirzapur, Gazipur Gazipur Dhaka 1703 1713093770 1 15 No No 519 1","NR EXPORTS House152nd floor, Road30, Sector7, Uttara Model Town , DhakaDhaka Dhaka 1230 1611557722 16 Yes Yes 12 15 1 NR Knit Composite Enayetnagar, Volail, Fatullah Narayanganj Dhaka No No 5 NR Knitting Mills own production Enayetnagar, Bholail, Fatullah Narayanganj Dhaka 2 7670042 1 16 No No  817 2 NRN Fashion House227, Road4, Mirpur, DOHS, Dhaka Dhaka Dhaka 1221 1710877777 16 Yes Yes 15 25 1 NTKC Plot 345350, Nilnagar, Konabari, Gazipur, BangladeshGazipur Dhaka 88029297141 4 110, 28, 34, 44 No No 2115 1",Accord 2013,2025-09-22T21:15:09.178231,21,,23.6167,90.5333,exact_location,high,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"Nurani Dyeing  Sweater Ltd. Fatehpur, 2 No Shorshodi Union, Dhaka","Chitta gong Road , FeniChittagong Chittagong 2 9887507 1 15 No No 600 1",Accord 2013,2025-09-22T21:15:09.178510,21,,22.248836097723103,91.79690944658809,area_match,medium,[],[],0,,0.0,unidentified
